Threat ID,Layer,STRIDE,Component,Stream,Description,Damage,Reproducibility,Exploitability,Affected Users,Discoverability,DREAD Score,Risk Level,MITRE ATT&CK,Mitigation
NL-T01,Network,D,Pi 4 Network Interface,Network,High-volume UDP flood targeting Pi 4 exhausts network buffer and CPU preventing ...,7,9,9,10,8,8.6,CRITICAL,T0814,RCAF Engine rate-limiting; iptables flood mitigation rules; ...
NL-T06,Network,T,Mosquitto MQTT Broker,Network,Unauthenticated MQTT client publishes false sensor readings to IDS alert topic s...,8,9,9,10,7,8.6,CRITICAL,T0856,MQTT authentication with TLS client certificates; topic ACL ...
NL-T05,Network,I,Pi 4 Network Stack,Network,"Network scanning reveals Pi 4 device fingerprint, open ports, and service versio...",5,10,9,8,10,8.4,CRITICAL,T0840,Port hardening; service version masking; SENTINEL-IoT scan d...
DL-T04,Device,I,Kinect Depth Sensor,Depth,Raw 320x240 depth frames contain body silhouette and gait patterns sufficient to...,8,9,8,10,6,8.2,CRITICAL,T0882,Depth-Silhouette Privacy Module: morphological erosion + cal...
NL-T02,Network,T,Mosquitto MQTT Broker,Network,Unencrypted MQTT on port 1883 allows attacker to intercept and modify sensor dat...,8,8,8,9,8,8.2,CRITICAL,T0830,MQTT over TLS 1.3; ECDSA-signed message payloads; certificat...
NL-T03,Network,S,Local Network (Wi-Fi/Ethernet),Network,ARP cache poisoning redirects Pi 4 traffic through attacker machine enabling ful...,8,9,8,9,6,8.0,CRITICAL,T0830,Static ARP entries for known nodes; SENTINEL-IoT ARP anomaly...
DL-T03,Device,T,Raspberry Pi OS / MicroSD,System,Attacker removes MicroSD card and modifies OS or application code to insert back...,10,8,7,10,3,7.6,HIGH,T0839,dm-verity filesystem integrity checking; SENTINEL-IoT boot-t...
DL-T01,Device,T,Raspberry Pi 4 Hardware,System,Physical access to USB ports enables insertion of malicious USB device or direct...,9,7,6,10,5,7.4,HIGH,T0857,SENTINEL-IoT physical enclosure with tamper-evident seals; U...
NL-T04,Network,S,ECDSA Authentication Channel,Network,Captured ECDSA authentication packets replayed to impersonate legitimate node wi...,8,8,7,9,5,7.4,HIGH,T0830,Nonce-based challenge-response; timestamp binding with 5-sec...
DL-T05,Device,I,Kinect 4-Microphone Array,Audio,16kHz audio capture from four-microphone beamforming array can record private co...,7,8,7,9,5,7.2,HIGH,T0882,Audio feature extraction only (MFCC) — raw audio never store...
AL-T06,Application,T,Kinect RGB Camera,RGB,Attacker uses printed photo or video replay attack on Kinect RGB camera to confu...,7,7,6,9,6,7.0,HIGH,T0862,Depth stream cross-validation — RGB-only anomaly must be con...
AL-T07,Application,D,Kinect USB + Pi 4 CPU,RGB+Depth+Audio,Triggering continuous maximum-load sensor processing (RGB+Depth+Audio at 30fps) ...,6,7,7,10,5,7.0,HIGH,T0814,RCAF Engine frame sampling at 10fps under load; CPU quota li...
AL-T01,Application,T,IDS Update Mechanism,System,Malicious firmware or model update delivered via compromised update channel repl...,10,6,5,10,3,6.8,HIGH,T0839,ECDSA-signed update packages; hash verification before insta...
AL-T03,Application,E,RCAF Anomaly Detection Engine,RGB+Depth,Adversary crafts physical intrusion behavior that stays below detection threshol...,8,6,5,10,4,6.6,HIGH,T0858,Cross-modal fusion — anomaly invisible in one stream detecte...
AL-T04,Application,R,IDS Alert Logging,System,Attacker gains write access to log files and deletes or modifies intrusion recor...,6,7,6,8,5,6.4,HIGH,T0872,Append-only log filesystem; SENTINEL-IoT log integrity via H...
DL-T02,Device,S,Kinect USB Interface,RGB+Depth+Audio,Adversary disconnects Kinect and attaches spoofed USB device presenting same VID...,8,5,4,9,4,6.0,HIGH,T0862,ECDSA-signed sensor handshake; hardware serial binding in au...
AL-T02,Application,I,DepthGuard Federated Learning,System,Malicious FL aggregator reconstructs private sensor data from gradient updates s...,8,5,4,10,3,6.0,HIGH,T0882,"(ε=1.0, δ=1e-5) Differential Privacy via Gaussian noise on g..."
AL-T05,Application,E,Python IDS Process,System,"Vulnerability in IDS Python dependencies (TF Lite, OpenCV, libfreenect) exploite...",9,4,4,10,3,6.0,HIGH,T0874,Principle of least privilege; IDS runs as sentinel user not ...
DL-T06,Device,I,Raspberry Pi 4 Power Supply,System,Power consumption analysis of Pi 4 during ECDSA operations may leak private key ...,9,4,3,10,2,5.6,MEDIUM,T0845,Constant-time ECDSA implementation (libgcrypt constant-time)...
